Year,Gender,Age,Hand,Height,Foot,Armspan,Languages,GetToSchool,TravelTime,ReactionTime,MemoryScore,Activity,Music,BirthMonth,Season,Allergies,Vegetarian,FavFood,Drink,FavSubject,Sleep1,Sleep2,Occupants,Communicate,TextsSent,HangHours,HWHours,SportsHours,VideoGameHours,ComputerHours,TVHours,WorkHours,SchoolPressure,Superpower,Preference
2014,Male,17,Right,185,27,185,1,Bus,15,0.349,60,Golf,Other,July,Summer,No,No,Meat,Water,Mathematics and statistics,7,10,4,,5,2,4,2,3,5,7,17.5,Some,Fly,Rich
2013,Male,18,Right,176,27,179,3,Bus,25,,,Basketball,Pop,April,Fall,No,No,Fruit,Tea,Mathematics and statistics,7.5,9,4,App,7,9,10,3,5,14,0,0,Some,Invisibility,Rich
2016,Female,17,Right,162,23,161,3,Bus,25,0.512,38,Running/Jogging,Pop,April,Winter,No,Yes,Fruit,Water,History,5,8,5,App,285,1,36,10,0,40,2,0,A lot,Invisibility,Happy
2013,Male,17,Left,167.9,25,176,2,Bus,10,0.344,41,Athletics,Classical,January,Fall,Yes,No,Meat,Water,Science,7,10,3,App,0,3,3,2,0,30,0,1,Some,Freeze time,Famous
2017,Female,17,Right,165,26,170,1,Car,7,0.534,26,Athletics,Rock and roll,May,Fall,Yes,No,Seafood,Water,Science,6.5,8,6,Text,150,2,20,12,0,15,8,2.5,A lot,Freeze time,Happy
2017,Female,17,Left,157,22,159,1,Car,14,0.518,46,Baseball/Softball,Rap/Hip hop,,Summer,Yes,No,No favorite,Water,Science,6,8,4,Text,100,12,6,10,0,6,3,0,A lot,Telepathy,Healthy
2017,Female,17,Right,154,24,143,1,Car,2,0.546,36,Soccer,Rap/Hip hop,April,Fall,No,No,Pizza/Pasta,Water,Physical education,8,8,3,Text,100,6,1,6,0,6,1,0,A lot,Telepathy,Happy
2013,Male,17,Right,178,30,185,1,Car,10,,,Tennis,Rap/Hip hop,March,Fall,Yes,No,Poultry,Tea,Physical education,7,9,5,In person,,12,0,12,2,3,8,16,Some,Telepathy,Rich
2017,Female,17,Left,157,21.5,160,1,Car,15,0.416,42,Other,Rock and roll,August,Fall,Yes,No,Desserts,Tea,Art,6.5,11,5,Text,10,1,15,10,0,5,2,0,A lot,Invisibility,Happy
2017,Male,17,Right,183,27,184,2,Car,10,0.657,52,Lacrosse,Rap/Hip hop,March,Fall,No,No,Pizza/Pasta,Water,History,7,11,5,In person,100,18,3,18,5,3,3,3,Some,Fly,Happy
2011,Female,17,Left,163,22,164,1,Car,10,0.437,36,Other,Pop,November,Spring,No,No,Desserts,Water,Science,6.5,9,3,Text,20,12,16,2,2,12,14,0,A lot,Freeze time,Healthy
2017,Female,18,Left,162.5,24.5,157,2,Walk,12,0.352,53,Baseball/Softball,Rhythm and blues (R&B),October,Fall,Yes,No,Desserts,Juice,Physical education,6,9,22,Text,100,7,15,10,1,48,3,0,Some,Telepathy,Rich
2010,Male,17,Right,168,,170,2,Bus,65,0.38,30,Other,Rock and roll,January,Winter,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,7,10,6,App,0,25,10,7,4,28,24.5,0,Some,Telepathy,Rich
2018,Male,18,Right,142,24,155,1,Car,2,0.46,36,Skateboarding/Rollerblading,Rock and roll,June,Winter,Yes,Yes,Pizza/Pasta,Water,Physical education,5,9,4,Text,200,10,2,4,2,2,2,12,Some,Fly,Happy
2018,Male,17,Both,186,27,183,1,Car,5,0.343,48,Baseball/Softball,Rap/Hip hop,August,Summer,No,No,Meat,Water,Mathematics and statistics,8,8,3,,100,5,10,10,1,3,4,0,Some,Telepathy,Rich
2014,Male,18,Right,175,25.4,178,1,Car,4,0.335,41,Football (American),Rap/Hip hop,April,Summer,No,No,Poultry,Tea,Physical education,6,10,4,Phone,100,20,0,10,2,5,10,10,Very little,Fly,Rich
2012,Female,17,Right,161,22,160,1,Car,10,0.394,38,Dancing,Rap/Hip hop,July,Summer,Yes,No,Meat,Water,Physical education,6,4,6,Text,200,,0,10,0,30,50,,Some,Invisibility,Happy
2018,Male,18,Right,173,28,178,1,Car,15,0.366,49,Other,Rap/Hip hop,June,Summer,Yes,No,Meat,Water,History,7,10,6,Phone,125,10,5,16,1,4,6,0,Some,Super strength,Rich
2010,Male,17,Right,183,29,194,1,Car,20,0.296,43,Hockey (Ice),Punk rock,May,Spring,Yes,No,Fruit,Water,Science,6,9,4,Text,5,13,15,4,14,28,2,4,A lot,Freeze time,Rich
2018,Female,17,Right,170,25,174,1,Car,10,0.549,64,Dancing,Rap/Hip hop,June,Summer,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,7,8,5,Text,15,10,12,5,0,5,6,30,Some,Freeze time,Happy
2019,Male,16,Right,185,33,178,2,Car,7,0.4,38,Soccer,Rap/Hip hop,June,Fall,Yes,No,Seafood,Water,Mathematics and statistics,8,10,2,App,15,15,7,20,2,4,0,0,A lot,Fly,Happy
2013,Male,18,Right,188,30,191,1,Car,7,0.298,42,Football (American),Rap/Hip hop,April,Fall,No,No,Meat,Sports drink,Science,7,7,6,Phone,30,5,3,10,2,3,4,0,Some,Freeze time,Happy
2013,Male,18,Right,180,30,180,2,,4,0.371,37,Football (American),Country,June,Summer,Yes,No,Meat,Water,History,6,7,5,Text,400,3,5,20,0,2,40,2,Some,Invisibility,Rich
2013,Male,17,Right,178,29,172,1,Car,5,0.298,40,Running/Jogging,Other,October,Fall,No,No,Soups,Coffee,History,7,11,4,Text,35,6,2,3,10,5,4,0,Some,Freeze time,Happy
2017,Male,18,Left,178,27,183,1,Car,50,0.376,39,Walking/Hiking,Other,January,Spring,Yes,Yes,No favorite,Tea,Art,5,8,5,In person,8,10,12,4,0,10,6,0,A lot,Telepathy,Happy
2014,Male,17,Left,167,23.9,173,2,Walk,15,0.345,46,Tennis,Jazz,April,Winter,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,6,8,4,App,0,1,35,3,0,28,0,0,Some,Fly,Happy
2017,Male,15,Right,175,25.2,180.1,3,Bus,9,0.32,40,Soccer,Classical,December,Winter,No,No,Meat,Water,Science,6.5,8,4,Text,60,8,20,4,0,16,6,1,A lot,Freeze time,Rich
2013,Male,17,Right,186,30,184,2,Car,10,0.447,38,Cycling,Jazz,February,Spring,Yes,No,Seafood,Tea,Music,7,10,6,Text,128,11,7,5,1,2,9,0,Some,Fly,Happy
2013,Male,17,Right,163.8,25.4,164.3,2,Bus,25,0.4,42,Basketball,Rap/Hip hop,October,Summer,No,No,Seafood,Sports drink,Mathematics and statistics,7,9,7,Text,20,10,7,7,15,10,2,5,A lot,Telepathy,Rich
2011,Female,17,Right,155.4,21.7,152,2,Car,7,0.343,41,Athletics,Pop,November,Summer,No,No,Pizza/Pasta,Juice,Social studies,5,10,6,Phone,16,8,30,3,4,80,3,0,A lot,Fly,Happy
2018,Female,17,Right,170.2,23.5,173.5,1,Car,20,0.332,34,Lacrosse,Pop,November,Summer,No,No,Fruit,Water,Mathematics and statistics,7,10,4,Text,350,8,30,7,0,60,5,24,A lot,Freeze time,Rich
2010,Female,17,Right,162,23,151,2,Car,60,0.359,31,Other,Other,November,Fall,Yes,Yes,Vegetables,Tea,Art,4,11,3,In person,0,1,9,0,2,5,1,8,A lot,Freeze time,Happy
2010,Male,18,Right,180,24.38,185,2,Car,5,0.281,58,Running/Jogging,Other,June,Summer,No,No,No favorite,Water,Social studies,6,11,5,Text,19,5,18,1,0,10,2,6,A lot,Telepathy,Happy
2014,Male,17,Left,175,24,177,2,Bus,14,0.383,58,Table Tennis,Punk rock,August,Spring,No,No,Pizza/Pasta,Water,Science,6.5,8,4,App,2,3,8,3,8,20,3,0,Some,Invisibility,Happy
2011,Male,18,Right,169,27,181,2,Car,12,0.266,32,Table Tennis,Other,July,Winter,No,No,Meat,Water,Physical education,7,9,3,Text,69,27,5,30,16,8,9,30,Some,Invisibility,Happy
2017,Male,18,Both,182.5,27.5,179,2,Car,8,0.169,52,Soccer,Rap/Hip hop,May,Fall,Yes,No,Meat,Water,Science,8,11,6,Phone,200,15,5,20,3,6,6,10,Some,Fly,Rich
2017,Male,16,Right,184.6,28,178.5,2,Car,15,0.41,41,Other,Rap/Hip hop,November,Summer,No,No,Meat,Milk,Mathematics and statistics,6,9,5,In person,20,10,6,10,1,2,0,10,A lot,Fly,Happy
2010,Male,18,Right,170,25,140,1,,40,0.281,30,Other,Rock and roll,December,Summer,No,No,Meat,Water,Physical education,4,5,5,Text,100,5,0,3,7,7,5,30,Very little,Super strength,Happy
2016,Female,16,,152.4,17.7,150.2,2,Car,8,0.8,30,Basketball,Rap/Hip hop,February,Fall,No,No,Meat,Soft drink (caffeinated),Mathematics and statistics,7,9,7,Text,200,8,5,5,2,3,4,20,A lot,Telepathy,Happy
2017,Female,17,Left,162,25,162,2,Bus,8,0.436,47,Baseball/Softball,Jazz,April,Fall,Yes,No,Pizza/Pasta,Tea,English,6.5,9,4,In person,25,2,10,22,0,10,4,10,A lot,Invisibility,Happy
2014,Male,17,Right,173,25,177,1,Car,7,0.374,33,Baseball/Softball,Rap/Hip hop,April,Spring,No,No,Pizza/Pasta,Juice,Other,7,9,4,Text,3,20,0,4,25,25,20,0,Very little,Freeze time,Rich
2011,Female,18,Right,163,23,162.5,2,Car,5,0.297,30,Dancing,Other,September,Summer,No,No,Meat,Milk,History,7.5,9,4,In person,15,8,14,1,0,10,5,5,Some,Fly,Happy
2013,Female,15,Right,173,24,175,1,Car,5,0.281,43,Basketball,Pop,July,Fall,No,No,,Water,Other,7,4,5,Text,200,14,20,3,0,10,5,0,A lot,Telepathy,Happy
2018,Female,16,Right,166,24.5,170,4,Bus,15,0.519,34,Soccer,Pop,May,Spring,No,No,Seafood,Water,Mathematics and statistics,9,9,4,In person,20,7,20,12,0,9,4,0,Some,Invisibility,Happy
2017,Female,17,Right,167.6,24,168.9,1,Car,15,0.266,41,Swimming,Pop,October,Fall,No,No,Desserts,Juice,Mathematics and statistics,7,7,4,App,1,4,17,22,2,10,1,4,Some,Fly,Happy
2019,Female,18,Right,163,23,169,1,Car,12,0.465,52,Other,Country,January,Summer,No,No,No favorite,Coffee,Science,7,8,5,Text,45,5,5,3,0,15,10,25,Some,Super strength,Happy
2010,Female,18,Right,168,25,161,1,Car,20,0.293,60,Running/Jogging,Rap/Hip hop,March,Summer,No,No,Fruit,Water,Physical education,6,7,4,Phone,100,15,0,10,0,1,2,30,None,Invisibility,Happy
2018,Female,17,Right,171,23,165,1,Car,5,0.328,40,Running/Jogging,Rock and roll,August,Fall,Yes,No,Pizza/Pasta,Water,Physical education,7,9,4,In person,1,6,4,2,0,20,5,4,A lot,Invisibility,Healthy
2012,Female,17,Right,163,25,165,2,Car,15,0.479,50,Athletics,Pop,December,Summer,Yes,No,Desserts,Water,Mathematics and statistics,8,10,5,Text,100,8,12,13,0,6,6,0,A lot,Fly,Happy
2015,Male,18,Right,,26,,1,Car,25,0.338,46,Football (American),Country,November,Spring,No,No,Pizza/Pasta,Milk,Science,4,2,4,Phone,200,30,1,4,1,90,2,30,Some,Fly,Happy
2013,Female,18,Right,162,22,162,1,Walk,20,0.385,51,Basketball,Rap/Hip hop,November,Summer,Yes,No,Pizza/Pasta,Soft drink (non-caffeinated),Physical education,7,11,5,In person,40,30,15,2,10,10,7,0,Some,Fly,Happy
2013,Male,16,Right,179.2,26,178.4,1,Car,7,0.555,45,Soccer,Country,January,Summer,No,No,Pizza/Pasta,Water,Mathematics and statistics,8,9,4,Text,30,25,10,30,1,2,5,10,Some,Freeze time,Healthy
2016,Male,17,Right,178,27,180,1,Car,10,0.293,,Walking/Hiking,Rock and roll,January,Fall,Yes,Yes,Rice/Noodle dishes,Milk,Mathematics and statistics,7,9,3,Text,2,3,15,0,0,4,6,15,Some,Fly,Happy
2017,Female,17,Right,160,22,167,1,Car,15,0.487,55,Baseball/Softball,Pop,December,Summer,No,No,Poultry,Water,English,8,10,4,Text,100,5,5,5,0,30,10,0,Some,Super strength,Healthy
2015,Male,17,Right,183,28,183,1,Car,5,0.399,61,Rowing,Other,September,Fall,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,7,9,4,Text,15,21,25,10,0,21,14,7,Some,Fly,Healthy
2014,Male,18,Right,165.1,28,163,1,Bus,9,0.352,29,Other,Other,February,Winter,Yes,No,Poultry,Juice,Music,6,8,4,App,25,10,8,5,15,30,8,0,Some,Freeze time,Happy
2017,Male,17,Right,186,28,179,2,Car,7,0.357,44,Football (American),Country,January,Winter,No,No,Meat,Water,Physical education,7,9,5,In person,50,6,5,18,1,3,4,5,Some,Fly,Happy
2010,Male,17,Both,171,26,184,1,Car,2,0.343,37,Baseball/Softball,Pop,October,Fall,No,No,Meat,Sports drink,Science,7,11,2,Text,50,5,2,10,3,1,4,0,Very little,Invisibility,Happy
2018,Male,18,Left,162.5,20.32,166,1,Bus,30,0.505,43,Martial Arts,Rock and roll,May,Spring,Yes,No,Seafood,Water,Art,7,9,3,Text,0,0,0,0,0,8,2,0,Very little,Super strength,Happy
2015,Male,16,Both,170.2,29.21,183,2,Walk,15,0.3,,Athletics,Pop,September,Winter,Yes,No,Soups,Milk,Physical education,4,4,6,Text,100,15,5,2,30,30,5,0,Very little,Freeze time,Rich
2011,Male,17,Right,184,29,187,1,Car,7,0.25,,Baseball/Softball,Rap/Hip hop,September,Summer,Yes,No,Poultry,Water,Science,7,9,3,In person,150,20,15,20,2,10,10,8,Some,Fly,Rich
2014,Female,17,Left,160,23.5,160,1,Car,7,0.461,43,None,Classical,August,Spring,No,Yes,Pizza/Pasta,Water,Music,5,9,5,Text,210,12,5,1,0,14,0.5,5,A lot,Invisibility,Happy
2013,Female,17,Right,141.2,24,165,1,Car,10,0.328,39,Hockey (Field),Pop,March,Fall,No,No,Pizza/Pasta,Water,Mathematics and statistics,7,9,6,Text,400,5,10,10,0,5,6,8,Some,Freeze time,
2018,Female,16,Right,161,24,161,3,Bus,15,0.529,30,Tennis,Pop,May,Spring,Yes,No,No favorite,Water,Art,5,7,5,Text,6,3,23,16,0,16,3,6,A lot,Freeze time,Rich
2018,Male,17,Right,199,27.5,192,2,Car,8,0.322,55,Lacrosse,Rap/Hip hop,March,Spring,No,No,Pizza/Pasta,Water,Mathematics and statistics,8,11,3,,25,12,3,3,2,24,3,6,Some,Fly,Happy
2010,Male,18,Left,176,27,186,1,Car,10,0.334,60,Baseball/Softball,Jazz,August,Summer,Yes,No,Poultry,Water,History,7,8,3,Text,100,50,10,7,1.5,50,1,14,Some,Fly,Happy
2017,Male,15,Left,170,25,167,1,Car,20,0.383,43,Tennis,Pop,October,Winter,No,Yes,Pizza/Pasta,Water,Mathematics and statistics,7,8,3,App,30,2,20,2,20,20,5,0,A lot,Freeze time,Happy
2011,Female,17,Right,161,25,166,1,Car,10,0.303,80,Other,Country,February,Fall,No,No,Salads,Water,Music,6,10,5,App,2,12,10,13,6,24,26,0,Some,Fly,Rich
2013,Female,17,Right,170,23,,1,Car,10,0.351,45,Walking/Hiking,Other,September,Spring,Yes,No,Fruit,Water,Social studies,7,10,3,Text,60,10,5,4,0,3,3,0,Some,Fly,Happy
2013,Male,18,Right,181,28,195,3,Car,25,0.358,41,Other,Other,December,Summer,No,No,Other,Water,Music,5,10,3,,200,15,5,0,0,20,20,30,A lot,Invisibility,Rich
2018,Male,16,Right,183,28,191,1,Car,8,0.457,43,Table Tennis,Pop,May,Fall,No,No,Desserts,Water,Social studies,6,9,2,In person,25,0,25,0,2,50,20,0,A lot,Fly,Happy
2013,Male,17,Left,180,29,,1,Car,6,0.323,92,Baseball/Softball,Reggae,July,Summer,Yes,No,Seafood,Water,Science,6,10,4,In person,135,,,,,,,,A lot,Fly,Happy
2015,Female,17,Right,188,28,188,1,Car,10,0.346,49,Basketball,Classical,April,Winter,No,No,Meat,Water,Science,8,9,4,Text,10,4,5,10,0,7,14,0,Some,Fly,Happy
2012,Female,16,Right,162.6,,,,Bus,25,0.381,45,Swimming,Pop,March,Fall,No,No,Pizza/Pasta,Water,English,6.5,8,4,Phone,30,9,6,3,1,10,10,0,Some,Fly,Happy
2010,Male,17,Right,175,24.5,173,1,Car,8,0.297,55,Soccer,Rap/Hip hop,May,Fall,No,No,Breads/Sandwiches,Sports drink,Social studies,8,10,2,App,10,15,8,20,9,8,5,15,A lot,Freeze time,Famous
2017,Female,16,Right,153,21,,1,Bus,30,0.493,50,Skateboarding/Rollerblading,Punk rock,April,Fall,Yes,No,Fruit,Water,Mathematics and statistics,5,8,5,App,5,3,10,5,5,10,5,5,A lot,Telepathy,Happy
2012,Female,17,Right,168,27,170,3,Car,12,0.367,34,Soccer,Rock and roll,May,Fall,No,No,Salads,Water,Mathematics and statistics,8,8,5,In person,7,5,10,15,0,10,4,4,Some,Telepathy,Famous
2018,Female,17,Right,168,25,160,1,Car,10,0.38,46,Other,Country,May,Fall,No,No,Pizza/Pasta,Water,Science,7.5,10,4,Text,350,8,10,9,0,3,3,6,A lot,Fly,Happy
2016,Male,16,Right,190,28,189,1,Walk,10,0.252,,Lacrosse,Rap/Hip hop,June,Fall,Yes,No,Meat,Milk,Computers and technology,8,12,5,Text,20,5,3,4,27,40,1,6,A lot,Fly,Happy
2013,Male,17,Right,183,26.7,160,1,Car,5,0.312,47,Basketball,Rap/Hip hop,April,Summer,Yes,No,Meat,Soft drink (caffeinated),Mathematics and statistics,7,11,5,Text,150,15,2,15,5,10,14,22,Very little,Invisibility,Happy
2016,Male,17,Right,193,28,185.4,2,Car,9,0.331,34,Rowing,Rap/Hip hop,January,Spring,Yes,No,Seafood,Milk,Science,8,11,3,Text,300,18,1,15,6,,10,0,A lot,Freeze time,Rich
2013,Female,18,Right,170,28,167,1,Car,10,0.609,54,Athletics,Other,October,Fall,Yes,No,Pizza/Pasta,Milk,Art,7,6,5,Text,100,5,3,0,0,50,10,15,A lot,Invisibility,Healthy
2012,Female,17,Right,170,21,,1,Walk,10,0.374,38,Running/Jogging,Rock and roll,July,Spring,No,No,Rice/Noodle dishes,Water,Geography,7,10,5,Phone,3,30,2,12,0,15,0,0,Very little,Freeze time,Healthy
2011,Male,17,Right,181,27,171,2,Car,10,0.312,60,Hockey (Ice),Rap/Hip hop,January,Winter,Yes,No,Meat,Water,Physical education,7,10,4,Text,50,20,3,10,1,3,3,0,Very little,Fly,Healthy
2017,Male,17,Right,182.5,29,183.5,1,Car,5,0.305,41,Golf,Country,June,Summer,No,No,Meat,Tea,Mathematics and statistics,6.5,10,2,App,10,8,10,16,3,15,20,22,Some,Fly,Happy
2014,Female,18,Right,164,23,140,1,Bus,20,0.435,50,Other,Punk rock,December,Spring,No,No,Meat,Water,Music,7,8,7,Text,100,6,4,2,1,3,8,6,Some,Telepathy,Happy
2013,Male,17,Right,165,26,165,1,Car,10,0.5,39,Golf,,December,Summer,Yes,No,Pizza/Pasta,Water,Physical education,8,10,3,Text,90,10,2,20,1,2,1,15,Very little,Freeze time,
2018,Male,18,Right,175,,172,3,Car,20,0.414,41,Swimming,Pop,June,Fall,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,6,9,2,Text,20,6,28,12,6,8,0,0,Some,Freeze time,Happy
2018,Female,17,Right,157,22,142,2,Car,10,0.5,35,Other,Rap/Hip hop,March,Spring,Yes,No,Pizza/Pasta,Coffee,History,8,11,3,Text,100,5,4,3,15,20,6,0,A lot,Telepathy,Healthy
2018,Female,17,Right,183,24.8,184,1,Car,10,0.421,36,Other,Pop,April,Spring,No,No,Breads/Sandwiches,Water,Science,7.5,9,4,Text,41,2,4,15,0,16,0,0,Some,Freeze time,
2017,Male,16,Right,167.6,22.9,170.2,2,Car,13,0.201,40,Other,Classical,March,Summer,Yes,No,Seafood,Milk,Music,7,9,4,App,13,8,40,5,5,24,0,0,Some,Freeze time,Happy
2012,Female,16,Left,157.4,19.5,123,1,Bus,25,0.446,42,Dancing,Other,October,Summer,No,No,Pizza/Pasta,Water,History,6,9,3,Phone,200,2,5,0,0,21,3,0,Some,Telepathy,Happy
2018,Female,17,Right,178,25,178,1,Car,7,0.335,48,Athletics,Pop,June,Fall,Yes,No,Pizza/Pasta,Water,English,7,9,3,In person,40,10,5,11,3,8,8,0,A lot,Fly,Happy
2016,Female,17,Right,163,23,159,3,Bus,7,,,Swimming,Classical,July,Winter,Yes,No,Seafood,,Mathematics and statistics,6,8,,Text,6,1,20,3,0,3,5,0,Some,Freeze time,Rich
2013,Female,17,Right,163.8,23.2,171.5,1,Bus,12,0.328,41,Dancing,Other,September,Fall,No,No,Pizza/Pasta,Water,Science,7,10,3,In person,1,6,10,5,0,10,1,10,Some,Telepathy,Happy
2011,Female,17,Right,167,23,169,2,Car,15,0.297,40,Lacrosse,Rock and roll,August,Winter,No,No,Fruit,Water,Social studies,7,9,3,Text,50,20,8,15,0,6,3,5,A lot,Fly,Healthy
2019,Male,17,Right,183,28,,1,Car,20,0.36,55,Football (American),Rap/Hip hop,September,Fall,No,No,Poultry,Water,Mathematics and statistics,8,10,3,App,30,6,7,21,10,60,2,0,Some,Freeze time,Happy
2017,Female,17,Left,165.1,23.5,165,2,Walk,12,0.342,34,Walking/Hiking,Rhythm and blues (R&B),February,Fall,Yes,Yes,Fruit,Coffee,History,6,10,25,Text,50,8,16,3,2,13,3,28,A lot,Invisibility,Happy
2014,Male,17,Right,172.7,25,175.2,1,Car,13,0.421,49,Athletics,Rap/Hip hop,April,Spring,Yes,No,Desserts,Water,Science,8,9,2,In person,10,10,4,15,3,10,5,0,A lot,Invisibility,Healthy
2013,Female,18,Right,153.5,21.7,166.9,1,Car,25,0.319,49,Tennis,Country,November,Fall,No,Yes,Pizza/Pasta,Water,English,7,10,5,Text,250,6,15,5,0,30,4,25,A lot,Fly,Rich
2018,Male,17,Right,182.9,26,183.5,2,Bus,30,0.392,51,Basketball,Rap/Hip hop,April,Spring,Yes,No,Meat,Water,Computers and technology,7,10,4,In person,5,5,14,2,3,40,4,20,Some,Freeze time,Rich
2013,Female,17,Right,165,24,165,1,Bus,15,0.464,54,Golf,Punk rock,August,Summer,No,No,Meat,Milk,Art,8,10,4,In person,100,5,7,14,1,4,7,9,Some,Fly,Healthy
2012,Male,18,Left,170,27,170,1,Car,25,0.302,37,Dancing,Classical,October,Winter,Yes,No,Desserts,Water,Science,6,12,3,Text,237,6,15,0,0,30,20,6,A lot,Telepathy,Rich
2013,Male,16,Left,177,27,180,1,Bus,60,0.532,61,Swimming,Other,March,Summer,No,No,Meat,Tea,Science,6,9,2,In person,0,0,0,4,0,21,10,0,Some,Fly,Rich
2017,Male,17,Right,180,27,181,1,Car,20,0.476,43,Martial Arts,Rhythm and blues (R&B),March,Spring,No,No,Meat,Water,History,7,10,3,Text,35,5,15,0,1,20,0,9,Very little,Freeze time,Happy
2013,Female,17,Right,169.5,26,172,2,Car,10,0.35,51,Other,Other,May,Summer,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,6,10,3,Text,30,3,15,6,0,5,10,11,A lot,Freeze time,Happy
2018,Female,17,Right,173,24,170,1,Car,5,0.37,49,None,Other,February,Fall,Yes,No,Poultry,Coffee,Science,4,7,2,App,100,4,5,0,11,20,6,0,A lot,Freeze time,Happy
2019,Female,17,Right,170,26,,1,Car,3,0.749,49,Swimming,Classical,August,Fall,Yes,No,Soups,Milk,Music,6,8,4,Text,40,30,3,0,15,70,10,7,A lot,Invisibility,Happy
2015,Male,17,Right,173,,,2,Car,12,0.365,46,Tennis,Rock and roll,February,Spring,No,No,Breads/Sandwiches,Juice,History,6.5,10,4,Text,3,5,5,2,5,3,3,30,Some,Invisibility,Happy
2018,Male,17,Right,178,25,,2,Bus,15,0.376,49,Martial Arts,Heavy metal,December,Fall,No,No,Rice/Noodle dishes,Water,Science,5,7,3,Text,15,6,10,0,0,70,4,0,Some,Telepathy,Rich
2015,Female,17,Right,172.7,22.86,171.5,1,Car,7,0.378,51,Hockey (Field),Pop,January,Fall,Yes,Yes,Desserts,Water,Social studies,8,9,4,Text,350,7,20,2,0,8,10,6,A lot,Fly,Happy
2019,Male,17,Right,170,25,173,1,Car,8,0.425,46,None,Pop,June,Summer,No,No,No favorite,Soft drink (non-caffeinated),Music,6,8,4,Text,5,10,3,2,3,10,0,0,A lot,Invisibility,Rich
2012,Female,17,Right,182,26,173,1,Car,15,0.482,46,Athletics,Pop,March,Spring,No,No,Pizza/Pasta,Water,Science,6,11,8,In person,6,10,15,12,0,3,3,0,A lot,Invisibility,Happy
2014,Female,18,Right,162.5,25.3,164,1,Car,12,0.479,45,Running/Jogging,Other,November,Fall,Yes,Yes,Fruit,Water,English,7,9,3,Text,20,20,10,15,0,15,5,20,A lot,Fly,Happy
2017,Female,17,Right,177.8,25,183,1,Bus,7,0.506,48,Swimming,Other,February,Winter,No,No,Desserts,Soft drink (caffeinated),History,6,8,5,App,5,7,4,3,0,16,2,0,A lot,Telepathy,Happy
2017,Male,18,Right,175,24,178,1,Car,10,0.342,45,Lacrosse,Rock and roll,August,Winter,No,No,Other,Water,Science,8,8,5,In person,50,10,10,15,4,2,3,9,A lot,Freeze time,Rich
2018,Female,17,Left,157.4,22,137.1,2,Car,15,0.246,33,Athletics,Rhythm and blues (R&B),October,Winter,Yes,No,Meat,Water,Science,7,10,4,Text,65,5,13,12,2,35,3,14,A lot,Invisibility,Healthy
2015,Male,16,Right,171,27,180,1,Car,15,0.433,50,Other,Techno/Electronic,June,Winter,No,No,Breads/Sandwiches,Coffee,Mathematics and statistics,7,7,4,Text,20,6,12,2,15,80,0,0,A lot,Freeze time,Happy
2014,Male,17,Right,165,24,168,2,Car,12,0.342,51,Other,Pop,October,Summer,Yes,No,Meat,Water,Science,6,8,3,Text,15,0,24,6,2,25,4,0,Some,Fly,Happy
2013,Female,17,Left,163,23,161,1,Car,10,0.359,40,Dancing,Pop,August,Spring,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,7,9,3,In person,5,5,15,8,0,4,5,2,Some,Invisibility,Happy
2014,Female,16,Right,163,24,160,3,Car,20,0.368,37,Other,Rhythm and blues (R&B),January,Spring,Yes,No,Other,Water,History,5.5,9,3,App,10,10,17,3,1,20,1,0,A lot,Freeze time,Healthy
2017,Female,18,Right,156,22,153,2,Bus,45,0.282,52,Dancing,Other,May,Summer,No,Yes,Pizza/Pasta,Coffee,Art,5,9,4,In person,50,40,7,7,0,50,14,0,Some,Fly,Famous
2012,Male,17,Right,183,30,195,1,Car,35,0.354,39,Tennis,Rap/Hip hop,September,Fall,Yes,No,Desserts,Soft drink (caffeinated),Science,6,8,5,Text,57,20,15,15,10,30,1,0,A lot,Freeze time,Happy
2016,Male,17,Right,186,,188,1,Car,10,0.391,45,Football (American),Country,June,Summer,No,No,Meat,Sports drink,Physical education,7,9,5,Text,100,8,1,5,3,1,6,0,Some,Invisibility,Happy
2018,Female,17,Left,160,23,170,1,Car,3,0.505,44,Football (American),Rap/Hip hop,August,Summer,Yes,No,Pizza/Pasta,Water,History,6.5,8,3,Text,867,25,5,2,1,10,14,15,Some,Telepathy,Happy
2010,Female,18,Right,168,24,168,1,Car,5,0.312,37,Hockey (Field),Other,October,Summer,No,No,Meat,Water,Social studies,7,10,4,Text,20,8,8,12,0,10,5,1,A lot,Fly,Happy
2013,Female,16,Left,150,20,143.5,2,Bus,7,0.485,49,Running/Jogging,Pop,January,Spring,Yes,No,Rice/Noodle dishes,Water,Art,6,8,4,In person,0,2,14,10,0,18,0,0,Some,Fly,Happy
2018,Male,18,Right,183.4,29,183.4,1,Car,20,0.417,51,Hockey (Ice),Rap/Hip hop,September,Summer,No,No,Meat,Sports drink,History,8,11,4,Text,130,30,4,5,4,50,4,0,Some,Fly,Rich
