Player,Position,Team,TotalMoney,YearlySalary
Ryan Grant,WR,Packers,0.805,0.805
Michael Burton,FB,Redskins,0.805,0.805
Chris Banjo,S,Cardinals,0.805,0.805
T.Y. McGill,34DT,Chargers,0.805,0.805
Luke Willson,TE,Seahawks,0.805,0.805
Mike Pennel,34DE,Chiefs,0.805,0.805
Brent Urban,34DE,Bears,0.805,0.805
Deone Bucannon,ILB,Giants,0.805,0.805
TJ Clemmings,RT,Bears,0.805,0.805
L.J. Fort,ILB,Ravens,0.805,0.805
Jeremiah Attaochu,43DE,Broncos,0.805,0.805
Zach Zenner,RB,Cardinals,0.805,0.805
Sylvester Williams,43DT,Chargers,0.805,0.805
Stephone Anthony,43OLB,Saints,0.805,0.805
Zach Kerr,34DT,Cardinals,0.805,0.805
LaRoy Reynolds,ILB,Bengals,0.805,0.805
Akeem Spence,43DT,Jaguars,0.805,0.805
Jordan Richards,S,Ravens,0.805,0.805
Jamar Taylor,CB,Seahawks,0.805,0.805
Josh Wells,LT,Buccaneers,0.805,0.805
Phillip Gaines,CB,Texans,0.805,0.805
Bryce Hager,ILB,Rams,0.805,0.805
Maxx Williams,TE,Cardinals,0.805,0.805
Dontae Johnson,CB,49ers,0.805,0.805
David Fales,QB,Jets,0.805,0.805
Brandon Marshall,LB,Raiders,0.805,0.805
Ben Powers,LG,Ravens,3.218,0.804
Cameron Sutton,CB,Steelers,3.217,0.804
Joe Thuney,LG,Patriots,3.213,0.803
Phil Haynes,LG,Seahawks,3.211,0.803
Ian Thomas,TE,Panthers,3.208,0.802
Delano Hill,S,Seahawks,3.207,0.802
Renell Wren,43DT,Bengals,3.203,0.801
Riley Ridley,WR,Bears,3.203,0.801
Ben Watson,TE,Patriots,0.800,0.800
Kenny Golladay,WR,Lions,3.196,0.799
Iman Marshall,CB,Ravens,3.196,0.799
Jalyn Holmes,43DT,Vikings,3.191,0.798
Tony Pollard,RB,Cowboys,3.190,0.798
Keke Coutee,WR,Texans,3.189,0.797
Nyheim Hines,RB,Colts,3.185,0.796
Isaiah Johnson,CB,Raiders,3.182,0.796
Keelan Doss,WR,Raiders,0.795,0.795
Drue Tranquill,ILB,Chargers,3.179,0.795
Antonio Callaway,WR,Browns,3.178,0.794
Cordrea Tankersley,CB,Dolphins,3.176,0.794
Rasul Douglas,CB,Eagles,3.176,0.794
Jonnu Smith,TE,Titans,3.176,0.794
Trey Hendrickson,43DE,Saints,3.176,0.794
Nazair Jones,43DT,Seahawks,3.176,0.794
James Conner,RB,Steelers,3.175,0.794
Kendell Beckwith,43OLB,Buccaneers,3.175,0.794
Josey Jewell,ILB,Broncos,3.174,0.793
Christopher Herndon IV,TE,Jets,3.171,0.793
Wes Martin,RG,Redskins,3.171,0.793
Ugochukwu Amadi,S,Seahawks,3.165,0.791
Troy Apke,S,Redskins,3.164,0.791
Jarrett Stidham,QB,Patriots,3.156,0.789
Brian Allen,C,Rams,3.147,0.787
Greg Gaines,34DE,Rams,3.147,0.787
Le'Raven Clark,RT,Colts,3.143,0.786
DaeSean Hamilton,WR,Broncos,3.143,0.786
Da'Shawn Hand,43DE,Lions,3.142,0.785
Joel Iyiegbuniwe,ILB,Bears,3.139,0.785
Kyler Fackrell,34OLB,Packers,3.136,0.784
Dorance Armstrong Jr.,43DE,Cowboys,3.130,0.782
Jordan Whitehead,S,Buccaneers,3.127,0.782
Jordan Jenkins,34OLB,Jets,3.124,0.781
Kendall Fuller,CB,Chiefs,3.123,0.781
Armani Watts,S,Chiefs,3.121,0.780
Anthony Averett,CB,Ravens,3.121,0.780
Kyzir White,43OLB,Chargers,3.114,0.779
Javon Hargrave,34DT,Steelers,3.114,0.779
C.J. Prosise,RB,Seahawks,3.112,0.778
Will Dissly,TE,Seahawks,3.110,0.778
Taron Johnson,CB,Bills,3.106,0.777
Kenny Young,ILB,Rams,3.100,0.775
Durham Smythe,TE,Dolphins,3.092,0.773
Avonte Maddox,CB,Eagles,3.086,0.771
Brandon Williams,CB,Cardinals,3.083,0.771
Ito Smith,RB,Falcons,3.081,0.770
DeAndre Houston-Carson,S,Bears,0.770,0.770
Jaleel Johnson,43DT,Vikings,3.078,0.770
Dede Westbrook,WR,Jaguars,3.076,0.769
Tedric Thompson,S,Seahawks,3.072,0.768
Kentavius Street,43DE,49ers,3.070,0.768
Eddie Jackson,S,Bears,3.066,0.766
Will Richardson,RT,Jaguars,3.063,0.766
Rayshawn Jenkins,S,Chargers,3.062,0.766
Josh Sweat,43DE,Eagles,3.058,0.764
Nick Vannett,TE,Steelers,3.057,0.764
Carl Lawson,43DE,Bengals,3.053,0.763
Kalen Ballage,RB,Dolphins,3.049,0.762
Josh Reynolds,WR,Rams,3.048,0.762
Jaleel Scott,WR,Ravens,3.040,0.760
Graham Glasgow,C,Lions,3.038,0.759
Mack Hollins,WR,Eagles,3.036,0.759
Nick Vigil,43OLB,Bengals,3.036,0.759
Tarik Cohen,RB,Bears,3.033,0.758
Ben Gedeon,43OLB,Vikings,3.033,0.758
Justin Simmons,S,Broncos,3.027,0.757
Montae Nicholson,S,Redskins,3.019,0.755
Jalen Reeves-Maybin,43OLB,Lions,3.013,0.753
John Cominsky,43DE,Falcons,3.008,0.752
Michael Jordan,LG,Bengals,3.008,0.752
Foster Moreau,TE,Raiders,3.008,0.752
Shareef Miller,43DE,Eagles,3.008,0.752
Samson Ebukam,34OLB,Rams,3.007,0.752
Julie'n Davenport,LT,Dolphins,2.986,0.747
Deatrich Wise,43DE,Patriots,2.981,0.745
Joe Schobert,ILB,Browns,2.974,0.743
Ryan Switzer,WR,Steelers,2.969,0.742
Eric Murray,S,Browns,2.967,0.742
Jamaal Williams,RB,Packers,2.966,0.741
Joshua Dobbs,QB,Jaguars,2.959,0.740
Sheldon Day,43DT,49ers,2.948,0.737
Randy Gregory,43DE,Cowboys,0.735,0.735
Ra'Shede Hageman,43DE,Falcons,0.735,0.735
Chris Moore,WR,Ravens,2.936,0.734
Ryan Smith,CB,Buccaneers,2.932,0.733
B.J. Goodson,ILB,Packers,2.922,0.731
Miles Killebrew,S,Lions,2.919,0.730
Nick Kwiatkoski,ILB,Bears,2.915,0.729
Chase Edmonds,RB,Cardinals,2.912,0.728
Marquis Haynes,43OLB,Panthers,2.912,0.728
Dalton Schultz,TE,Cowboys,2.912,0.728
John Franklin-Myers,34DE,Jets,2.912,0.728
De'Vondre Campbell,43OLB,Falcons,2.906,0.726
Hassan Ridgeway,43DT,Eagles,2.900,0.725
Demarcus Robinson,WR,Chiefs,2.885,0.721
David Onyemata,43DT,Saints,2.882,0.721
Damiere Byrd,WR,Cardinals,0.720,0.720
Pharoh Cooper,WR,Cardinals,0.720,0.720
Clive Walford,TE,Dolphins,0.720,0.720
Isaiah Johnson,S,Colts,0.720,0.720
J.D. McKissic,WR,Lions,0.720,0.720
Jihad Ward,34DE,Ravens,0.720,0.720
Senorise Perry,RB,Bills,0.720,0.720
Tyler Ervin,RB,Jaguars,0.720,0.720
Darius Kilgo,43DT,Lions,0.720,0.720
Javien Elliott,CB,Panthers,0.720,0.720
Kameron Canaday,LS,Steelers,0.720,0.720
Noah Spence,34OLB,Redskins,0.720,0.720
Ben Koyack,TE,Jaguars,0.720,0.720
Hroniss Grasu,C,Titans,0.720,0.720
Juston Burris,CB,Browns,0.720,0.720
Rick Lovato,LS,Eagles,0.720,0.720
Justin March-Lillard,43OLB,Cowboys,0.720,0.720
Darian Thompson,S,Cowboys,0.720,0.720
Corey Coleman,WR,Giants,0.720,0.720
Bryan Witzmann,LG,Panthers,0.720,0.720
Tyrell Adams,ILB,Texans,0.720,0.720
Laquon Treadwell,WR,Vikings,0.720,0.720
Josh Doctson,WR,Vikings,0.720,0.720
James Ferentz,LG,Patriots,0.720,0.720
Branden Jackson,43DE,Seahawks,0.720,0.720
Kalan Reed,CB,Seahawks,0.720,0.720
Joey Hunt,C,Seahawks,0.720,0.720
Anthony Zettel,43DE,Bengals,0.720,0.720
Brett Jones,C,Vikings,0.720,0.720
Andrew Adams,S,Buccaneers,0.720,0.720
Shilique Calhoun,43OLB,Patriots,0.720,0.720
Briean Boddy-Calhoun,CB,Texans,0.720,0.720
David Fluellen,RB,Titans,0.720,0.720
Cody Kessler,QB,Patriots,0.720,0.720
Andrew Billings,43DT,Bengals,2.876,0.719
Ryquell Armstead,RB,Jaguars,2.873,0.718
Jerald Hawkins,RT,Buccaneers,2.870,0.718
Deionte Thompson,S,Cardinals,2.870,0.718
Deon Bush,S,Bears,2.866,0.717
Zach Gentry,TE,Steelers,2.864,0.716
Jalen Thompson,S,Cardinals,2.863,0.716
Ben Burr-Kirven,43OLB,Seahawks,2.863,0.716
Ryan Connelly,ILB,Giants,2.856,0.714
Marvell Tell III,S,Colts,2.848,0.712
Matt Gay,K,Buccaneers,2.846,0.711
Amani Oruwariye,CB,Lions,2.843,0.711
Vosean Joseph,43OLB,Bills,2.843,0.711
Dre Greenlaw,43OLB,49ers,2.842,0.710
Hunter Renfrow,WR,Raiders,2.836,0.709
Kingsley Keke,34DE,Packers,2.833,0.708
Andrew Van Ginkel,43OLB,Dolphins,2.832,0.708
Alex Lewis,LG,Jets,2.832,0.708
Qadree Ollison,RB,Falcons,2.832,0.708
Ross Pierschbacher,C,Redskins,2.831,0.708
Jordan Scarlett,RB,Panthers,2.831,0.708
Mack Wilson,43OLB,Browns,2.829,0.707
Justin Hollins,34OLB,Broncos,2.827,0.707
Blake Cashman,ILB,Jets,2.824,0.706
Byron Cowart,43DT,Patriots,2.821,0.705
Ryan Glasgow,43DT,Bengals,2.820,0.705
Wayne Gallman,RB,Giants,2.820,0.705
Carlos Watkins,34DE,Texans,2.820,0.705
Daylon Mack,34DT,Ravens,2.819,0.705
Charles Omenihu,34DE,Texans,2.816,0.704
Jake Bailey,P,Patriots,2.811,0.703
EJ Speed,ILB,Colts,2.809,0.702
Joe Jackson,43DE,Cowboys,2.807,0.702
Easton Stick,QB,Chargers,2.799,0.700
D'Andre Walker,ILB,Titans,2.788,0.697
David Edwards,RT,Rams,2.785,0.696
Cole Madison,RG,Packers,2.784,0.696
RJ McIntosh,34DE,Giants,2.781,0.695
Austin Seibert,K,Browns,2.780,0.695
Maurice Hurst,43DT,Raiders,2.779,0.695
Shaquem Griffin,43OLB,Seahawks,2.778,0.694
D.J. Reed,S,49ers,2.771,0.693
Ja'Whaun Bentley,ILB,Patriots,2.764,0.691
Justin Watson,WR,Buccaneers,2.762,0.690
Charles Tapper,34OLB,Jets,1.380,0.690
Paul Perkins,RB,Lions,1.380,0.690
Trey Edmunds,TE,Steelers,1.380,0.690
Paxton Lynch,QB,Steelers,1.380,0.690
Kyle Peko,34DT,Colts,1.380,0.690
Marvin Hall,WR,Lions,1.380,0.690
Adam Pankey,LG,Packers,1.380,0.690
Cody Wichmann,RG,Cowboys,1.380,0.690
Devin Smith,WR,Cowboys,1.380,0.690
Chris Landrum,34DE,Texans,1.380,0.690
Eli Ankou,43DT,Browns,1.380,0.690
Garrett Gilbert,QB,Browns,1.380,0.690
Johnny Holton,WR,Steelers,1.380,0.690
Kalif Raymond,WR,Titans,1.380,0.690
Darrell Daniels,TE,Cardinals,1.380,0.690
Bilal Nichols,34DE,Bears,2.759,0.690
Tre Flowers,CB,Seahawks,2.759,0.690
Micah Kiser,ILB,Rams,2.758,0.689
Jordan Miller,CB,Falcons,2.755,0.689
Cole Holcomb,ILB,Redskins,2.755,0.689
Darius Slayton,WR,Giants,2.755,0.689
Michael Dickson,P,Seahawks,2.750,0.688
Genard Avery,43OLB,Eagles,2.749,0.687
Dane Cruikshank,CB,Titans,2.748,0.687
Tyrell Crosby,LT,Lions,2.748,0.687
Siran Neal,CB,Bills,2.746,0.687
Scott Quessenberry,LG,Chargers,2.744,0.686
Troy Fumagalli,TE,Broncos,2.742,0.685
Tyler Conklin,TE,Vikings,2.741,0.685
Ogbonnia Okoronkwo,34OLB,Rams,2.735,0.684
"Jermaine Carter, Jr.",ILB,Panthers,2.733,0.683
KeeSean Johnson,WR,Cardinals,2.729,0.682
Tim Settle,34DT,Redskins,2.728,0.682
Natrell Jamerson,S,Panthers,2.726,0.681
Dak Prescott,QB,Cowboys,2.723,0.681
Kaden Smith,TE,Giants,2.720,0.680
Jaylen Samuels,TE,Steelers,2.718,0.680
Saquan Hampton,S,Saints,2.716,0.679
Wyatt Teller,RG,Browns,2.714,0.679
Gardner Minshew,QB,Jaguars,2.712,0.678
Lamont Gaillard,C,Cardinals,2.708,0.677
Corey Ballentine,CB,Giants,2.706,0.676
Jamarco Jones,LT,Seahawks,2.705,0.676
Jaquan Johnson,S,Bills,2.704,0.676
Rashad Fenton,CB,Chiefs,2.702,0.676
Trayveon Williams,RB,Bengals,2.702,0.675
Jordan Wilkins,RB,Colts,2.701,0.675
Jake Butt,TE,Broncos,2.701,0.675
Sharrod Neasman,S,Falcons,1.350,0.675
Dwayne Washington,RB,Saints,1.350,0.675
Josh Andrews,C,Colts,1.350,0.675
MyCole Pruitt,TE,Titans,1.350,0.675
Jonathan Williams,RB,Colts,1.350,0.675
Dan Vitale,FB,Packers,1.350,0.675
C.J. Goodwin,CB,Cowboys,1.350,0.675
Justin Skule,LT,49ers,2.700,0.675
George Kittle,TE,49ers,2.698,0.675
Ka'dar Hollman,CB,Packers,2.695,0.674
Ty Johnson,RB,Lions,2.693,0.673
Juwann Winfree,WR,Broncos,2.691,0.673
David Long Jr.,ILB,Titans,2.690,0.673
Drew Forbes,LG,Browns,2.689,0.672
Armon Watts,43DT,Vikings,2.689,0.672
Damontae Kazee,CB,Falcons,2.689,0.672
Marcus Epps,S,Vikings,2.689,0.672
Isaiah Buggs,34DE,Steelers,2.689,0.672
Olisaemeka Udoh,RT,Vikings,2.688,0.672
Dexter Williams,RB,Packers,2.686,0.672
Xavier Crawford,CB,Dolphins,2.685,0.671
Blessuan Austin,CB,Jets,2.683,0.671
Trace McSorley,QB,Ravens,2.681,0.670
Desmond King,CB,Chargers,2.680,0.670
Tim Harris,CB,49ers,2.678,0.670
Darius Phillips,CB,Bengals,2.678,0.669
JK Scott,P,Packers,2.678,0.669
Marquez Valdes-Scantling,WR,Packers,2.678,0.669
Darwin Thompson,RB,Chiefs,2.677,0.669
Emeke Egbule,43OLB,Chargers,2.677,0.669
Jeremy Sprinkle,TE,Redskins,2.677,0.669
Jayon Brown,ILB,Titans,2.672,0.668
Isaiah Prince,RT,Dolphins,2.670,0.668
Nate Hairston,CB,Jets,2.668,0.667
Anthony Walker Jr.,ILB,Colts,2.665,0.666
Travis Homer,RB,Seahawks,2.663,0.666
Matt Milano,43OLB,Bills,2.662,0.665
Nick Allegretti,LG,Chiefs,2.661,0.665
Jamal Agnew,CB,Lions,2.658,0.665
Damion Ratley,WR,Browns,2.654,0.663
Marquel Lee,43OLB,Raiders,2.653,0.663
Duke Shelley,CB,Bears,2.648,0.662
Kelvin Harmon,WR,Redskins,2.648,0.662
Ulysees Gilbert III,ILB,Steelers,2.648,0.662
Scott Miller,WR,Buccaneers,2.648,0.662
Demarcus Christmas,43DT,Seahawks,2.648,0.662
Rodney Anderson,RB,Bengals,2.648,0.662
Dennis Daley,LT,Panthers,2.648,0.662
Donovan Wilson,S,Cowboys,2.648,0.662
Duke Ejiofor,34DE,Texans,2.645,0.661
Folorunso Fatukasi,34DT,Jets,2.634,0.659
Kris Boyd,CB,Vikings,2.630,0.657
Deon Cain,WR,Colts,2.626,0.656
Cullen Gillaspia,FB,Texans,2.624,0.656
Jacob Martin,ILB,Texans,2.622,0.656
DeVante Bausby,CB,Broncos,0.655,0.655
Darryl Johnson Jr.,43DE,Bills,2.618,0.655
Ty Summers,ILB,Packers,2.618,0.654
Jimmy Moreland,CB,Redskins,2.618,0.654
DeShon Elliott,S,Ravens,2.618,0.654
Tommy Sweeney,TE,Bills,2.617,0.654
Russell Gage,WR,Falcons,2.616,0.654
Sebastian Joseph,34DT,Rams,2.615,0.654
Tajae Sharpe,WR,Titans,2.615,0.654
Shaun Dion Hamilton,ILB,Redskins,2.613,0.653
George Asafo-Adjei,RT,Giants,2.612,0.653
Chandler Cox,FB,Dolphins,2.611,0.653
Ronald Blair,43DE,49ers,2.610,0.653
DeAndre Washington,RB,Raiders,2.609,0.652
Myles Gaskin,RB,Dolphins,2.607,0.652
Foyesade Oluokun,43OLB,Falcons,2.607,0.652
Jack Cichy,ILB,Buccaneers,2.605,0.651
Connor McGovern,C,Broncos,2.604,0.651
Dontavius Russell,43DT,Jaguars,2.604,0.651
John Ursua,WR,Seahawks,2.603,0.651
T.J. Logan,RB,Buccaneers,2.602,0.650
Trent Taylor,WR,49ers,2.602,0.650
Davon Godchaux,43DT,Dolphins,2.602,0.650
Aaron Jones,RB,Packers,2.602,0.650
Danny Isidora,RG,Dolphins,2.602,0.650
Trenton Cannon,RB,Jets,2.599,0.650
Jalen Jelks,43DE,Cowboys,2.599,0.650
Cortez Broughton,43DT,Chargers,2.598,0.650
Nick Scott,S,Rams,2.597,0.649
Kaden Elliss,43OLB,Saints,2.597,0.649
Matt Judon,34OLB,Ravens,2.596,0.649
Michael Dogbe,34DE,Cardinals,2.595,0.649
Ken Webster,CB,Dolphins,2.595,0.649
Javon Patterson,C,Colts,2.595,0.649
Olabisi Johnson,WR,Vikings,2.595,0.649
Joshua Miles,LT,Cardinals,2.595,0.649
Austin Cutting,LS,Vikings,2.595,0.649
Jordan Brailford,34OLB,Redskins,2.595,0.649
Matt Pryor,RG,Eagles,2.593,0.648
Jordan Howard,RB,Eagles,2.588,0.647
Wendell Smallwood,RB,Redskins,2.585,0.646
Joe Haeg,RG,Colts,2.582,0.646
Pat O'Connor,43DE,Buccaneers,1.291,0.645
Greg Mabin,CB,Bengals,0.645,0.645
B.J. Bello,ILB,Jets,0.645,0.645
Arthur Maulet,CB,Jets,0.645,0.645
Ricky Seals-Jones,TE,Browns,0.645,0.645
Brandon Allen,QB,Broncos,0.645,0.645
Erik Magnuson,C,Raiders,0.645,0.645
Jordan Leggett,TE,Buccaneers,0.645,0.645
Al-Quadin Muhammad,43DE,Colts,1.935,0.645
Deon Lacey,43OLB,Dolphins,0.645,0.645
Isaac Rochell,43DE,Chargers,0.645,0.645
Vince Biegel,ILD,Dolphins,0.645,0.645
Nathan Peterman,QB,Raiders,0.645,0.645
Matt Simms,QB,Falcons,0.645,0.645
Matt Feiler,RT,Steelers,0.645,0.645
Mike Hilton,CB,Steelers,0.645,0.645
Jeff Driskel,QB,Lions,0.645,0.645
Vincent Taylor,43DT,Bills,0.645,0.645
Shalom Luani,S,Chargers,0.645,0.645
Zach Banner,RT,Steelers,0.645,0.645
Jordan Dangerfield,S,Steelers,0.645,0.645
Treyvon Hester,34DE,Redskins,0.645,0.645
Jacob Hollister,TE,Seahawks,0.645,0.645
Elijah Lee,43OLB,49ers,0.645,0.645
D.J. Foster,RB,Cardinals,0.645,0.645
Jake Elliott,K,Eagles,0.645,0.645
Daeshon Hall,43DE,Eagles,1.935,0.645
Jonathan Woodard,43DE,Dolphins,0.645,0.645
Jon Halapio,C,Giants,0.645,0.645
Elijhaa Penny,RB,Giants,0.645,0.645
Aldrick Rosas,K,Giants,0.645,0.645
Elijah Wilkinson,LT,Broncos,0.645,0.645
Joseph Jones,ILB,Broncos,0.645,0.645
Dymonte Thomas,S,Broncos,0.645,0.645
C.J. Ham,RB,Vikings,0.645,0.645
Troymaine Pope,RB,Chargers,0.645,0.645
Ricardo Louis,WR,Dolphins,0.645,0.645
Michael Liedtke,LT,Buccaneers,0.645,0.645
Jerome Cunningham,TE,Redskins,0.645,0.645
Tony McRae,CB,Bengals,0.645,0.645
Alex Redmond,RG,Bengals,0.645,0.645
Josh Tupou,43DT,Bengals,0.645,0.645
Brandon Wilson,S,Bengals,0.645,0.645
Michael Bennett,43DT,Falcons,0.645,0.645
Matt Skura,C,Ravens,0.645,0.645
Torry McTyer,CB,Bengals,0.645,0.645
Donald Payne,ILB,Jaguars,0.645,0.645
DeAndrew White,WR,Panthers,0.645,0.645
David Moore,WR,Seahawks,0.645,0.645
Bryan Cox Jr.,43DE,Panthers,0.645,0.645
Jermaine Eluemunor,LG,Patriots,0.645,0.645
Ufomba Kamalu,34DE,Ravens,0.645,0.645
Cameron Tom,C,Saints,0.645,0.645
Justin Hardee,WR,Saints,0.645,0.645
James Burgess,ILB,Jets,0.645,0.645
Daniel Ross,43DT,Cowboys,0.645,0.645
Trevon Coley,43DT,Colts,0.645,0.645
Rashaad Coward,RT,Bears,0.645,0.645
Malcolm Johnson,TE,Packers,0.645,0.645
Isaiah Irving,34OLB,Bears,0.645,0.645
Roy Robertson-Harris,34DE,Bears,0.645,0.645
Lucas Patrick,C,Packers,0.645,0.645
Justin McCray,RG,Browns,0.645,0.645
Mike Purcell,34DE,Broncos,0.645,0.645
Zach Wood,LS,Saints,0.645,0.645
JoJo Natson,WR,Rams,0.645,0.645
Morgan Fox,34DE,Rams,0.645,0.645
Charles Washington,S,Cardinals,0.645,0.645
Braxton Berrios,WR,Jets,2.578,0.645
Greg Senat,LT,Chiefs,2.578,0.645
Equanimeous St. Brown,WR,Packers,2.578,0.645
Jordan Thomas,TE,Texans,2.578,0.645
Peter Kalambayi,34OLB,Texans,2.578,0.645
Bradley Bozeman,C,Ravens,2.578,0.645
LeShaun Sims,CB,Titans,2.578,0.645
Brandon Shell,RT,Jets,2.576,0.644
Chuck Clark,S,Ravens,2.575,0.644
Kentrell Brothers,ILB,Vikings,2.573,0.643
Trevor Davis,WR,Raiders,2.567,0.642
Halapoulivaati Vaitai,RT,Eagles,2.565,0.641
Tanzel Smart,34DE,Rams,2.565,0.641
Sam Tevi,RT,Chargers,2.562,0.640
Matthew Adams,ILB,Colts,2.562,0.640
Xavier Woods,S,Cowboys,2.560,0.640
Jullian Taylor,43DE,49ers,2.558,0.640
Jordan Evans,43OLB,Bengals,2.557,0.639
Javon Wims,WR,Bears,2.556,0.639
Tanner Vallejo,ILB,Redskins,2.554,0.638
Jason Sanders,K,Dolphins,2.551,0.638
Leon Jacobs,43OLB,Jaguars,2.551,0.638
Marqui Christian,CB,Rams,2.550,0.638
Jordan Mailata,RT,Eagles,2.549,0.637
Andre Smith,ILB,Panthers,2.549,0.637
D.J. Jones,43DT,49ers,2.548,0.637
Chase Roullier,C,Redskins,2.547,0.637
Zaire Franklin,43OLB,Colts,2.547,0.637
Nick Bawden,FB,Lions,2.544,0.636
Rudy Ford,S,Eagles,2.540,0.635
Hunter Bradley,LS,Packers,2.537,0.634
Richie James,WR,49ers,2.537,0.634
Greg Stroman,CB,Redskins,2.536,0.634
Conor McDermott,RT,Jets,2.535,0.634
Keion Crossen,CB,Texans,2.534,0.634
Marlon Mack,RB,Colts,2.534,0.634
Grover Stewart,43DT,Colts,2.534,0.634
Justin Lawler,34OLB,Rams,2.534,0.633
Will Clapp,C,Saints,2.533,0.633
Logan Cooke,P,Jaguars,2.532,0.633
Ryan Izzo,TE,Patriots,2.529,0.632
Trey Quinn,WR,Redskins,2.529,0.632
Korey Cunningham,LT,Patriots,2.529,0.632
Jatavis Brown,43OLB,Chargers,2.524,0.631
Ted Karras,LG,Patriots,1.890,0.630
Josh Harvey-Clemons,ILB,Redskins,2.484,0.621
David Morgan,TE,Vikings,2.475,0.619
Anthony Brown,CB,Cowboys,2.475,0.619
Wes Schweitzer,C,Falcons,2.472,0.618
Noah Brown,WR,Cowboys,2.472,0.618
Derek Watt,FB,Chargers,2.470,0.617
Cody Core,WR,Giants,2.468,0.617
Chris Carson,RB,Seahawks,2.465,0.616
Harvey Langi,34OLB,Jets,1.230,0.615
Avery Moss,43DE,Dolphins,1.230,0.615
Marcell Ateman,WR,Raiders,1.230,0.615
Justin Jackson,RB,Chargers,2.460,0.615
Boston Scott,RB,Eagles,1.230,0.615
Nik Needham,CB,Dolphins,1.230,0.615
Ryan Lewis,CB,Dolphins,1.230,0.615
Jamil Douglas,RG,Titans,1.230,0.615
Garrett Griffin,TE,Saints,1.230,0.615
Vyncint Smith,WR,Jets,1.230,0.615
Jamal Carter,ILB,Falcons,1.230,0.615
Isaac Whitney,WR,Texans,1.230,0.615
Tra Carson,RB,Lions,1.230,0.615
Dan Arnold,WR,Saints,1.230,0.615
Matt Dickerson,34DE,Titans,1.230,0.615
Aaron Stinnie,G,Titans,1.230,0.615
Devaroe Lawrence,43DT,Browns,1.230,0.615
Alexander Johnson,ILB,Broncos,1.230,0.615
Marcell Harris,S,49ers,1.230,0.615
Cornell Armstrong,CB,Texans,1.230,0.615
Jordan Williams,34DE,Titans,1.230,0.615
Auden Tate,WR,Bengals,2.460,0.615
Ifeadi Odenigbo,43DT,Vikings,1.230,0.615
Younghoe Koo,K,Falcons,1.230,0.615
Mike Thomas,WR,Rams,2.456,0.614
Seth DeValve,TE,Jaguars,2.453,0.613
Devontae Booker,RB,Broncos,2.453,0.613
Blake Martinez,ILB,Packers,2.453,0.613
Kamu Grugier-Hill,43OLB,Eagles,2.440,0.610
Elandon Roberts,ILB,Patriots,2.440,0.610
Will Parks,S,Broncos,2.440,0.610
Riley Dixon,P,Giants,2.420,0.605
Jalen Mills,CB,Eagles,2.417,0.604
Lachlan Edwards,P,Jets,2.416,0.604
Adam Redmond,C,Cowboys,1.206,0.603
Jayron Kearse,S,Vikings,2.404,0.601
Clayton Fejedelem,S,Bengals,2.404,0.601
Tyler Matakevich,ILB,Steelers,2.403,0.601
Austin Blythe,RG,Rams,2.402,0.600
Dean Marlowe,S,Bills,1.200,0.600
Brian Hill,RB,Falcons,1.200,0.600
Zane Gonzalez,K,Cardinals,1.200,0.600
Alex Armah,FB,Panthers,2.400,0.600
David Sharpe,RT,Raiders,1.200,0.600
Nate Gerry,43OLB,Eagles,2.400,0.600
Dillon Gordon,TE,Panthers,1.200,0.600
Isaiah McKenzie,WR,Bills,1.200,0.600
Joe Walker,ILB,Cardinals,1.200,0.600
Caleb Brantley,34DE,Redskins,1.200,0.600
James Onwualu,43OLB,Jaguars,1.200,0.600
Zack Bailey,LG,Buccaneers,1.778,0.593
Marcus Simms,WR,Jaguars,1.775,0.592
Iseoluwapo Jegede,43DT,Colts,1.775,0.592
David Blough,QB,Lions,1.775,0.592
Andrew Beck,TE,Broncos,1.770,0.590
Malik Reed,34OLB,Broncos,1.770,0.590
Steven Sims,WR,Redskins,1.770,0.590
Fred Johnson,RG,Bengals,1.770,0.590
Carl Granderson,43DE,Saints,1.770,0.590
Keisean Nixon,CB,Raiders,1.770,0.590
Azeez Al-Shaair,43OLB,49ers,1.770,0.590
Jonathan Ledbetter,43DE,Dolphins,1.770,0.590
Hale Hentges,TE,Redskins,1.770,0.590
T.J. Edwards,ILB,Eagles,1.768,0.589
Nate Herbig,RG,Eagles,1.768,0.589
Isaiah Mack,34DT,Titans,1.768,0.589
Troy Reeder,ILB,Rams,1.767,0.589
Beau Benzschawel,LG,Lions,1.765,0.588
Deonte Harris,WR,Saints,1.765,0.588
Malik Gant,S,Patriots,1.765,0.588
Jakobi Meyers,WR,Patriots,1.765,0.588
Otaro Alaka,ILB,Ravens,1.765,0.588
Alec Ingold,RB,Raiders,1.765,0.588
Andre James,C,Raiders,1.765,0.588
Jordan Kunaszyk,ILB,Panthers,1.765,0.588
Nate Harvey,34DE,Giants,1.760,0.588
Mark McLaurin,S,Giants,1.765,0.588
Jamie Gillan,P,Browns,1.765,0.588
Jon'Vea Johnson,WR,Cowboys,1.765,0.588
Chris Westry,CB,Cowboys,1.765,0.588
Darius Harris,ILB,Chiefs,1.765,0.588
Deion Calhoun,RG,Dolphins,1.765,0.588
Preston Williams,WR,Dolphins,1.765,0.588
Koda Martin,RG,Chargers,1.764,0.588
Patrick Laird,RB,Dolphins,1.764,0.588
Patrick Mekari,C,Ravens,1.763,0.588
Demetrius Knox,LG,Seahawks,1.763,0.588
